fredrich  lawson    1    1    1    this is a demo      1    4    1 
pamela    smith     1    1    1    this is a demo      1    7    2 
james     thyson         1    1    this is a demo      1    9    3 
barbara   sweeney   1         1    this is a demo      1    14   1 
richard   jacobs    1    1         this is a demo      1    14   2 
mary      miller    1    1    1    this is a demo      1    9    3 
franklin  ford      1    1    1    this is a demo      1    7    1 
jessica   patrick   1    1    1    this is a demo      1    4    2 
john      wang      1    1    1    this is a demo      1    4    3 
peter     barnes    1    1    1    this is a demo      1    7    1 
